Feature,Coefficient
fico_fico_740+,-0.779526141121528
age_7-12m,-0.511786795345788
age_4-6m,-0.48189426102821104
age_13-18m,-0.3610763527305436
age_2-3m,-0.3320684848298781
fico_fico_700-739,-0.3269535590618171
age_19-24m,-0.18191446555707816
fico_fico_<620,0.18174294472242938
fico_fico_660-699,-0.1568381403001513
program_P3,0.1448848732659844
ever_D30,0.13422140127033552
program_P2,0.0852079440546576
amt_amt_4-6k,0.07655463198862353
amt_amt_2-4k,0.06713090764024718
amt_amt_8k+,0.04470133586822252
term_24,-0.042511868245864726
age_24m+,-0.03471211736464774
term_6,-0.024243736928508335
term_12,-0.017821593222890196
term_36,0.012576315058304581
amt_amt_6-8k,0.01144628549582188
term_60,-0.0021805883173842723
